TransactionID,DeviceType_desktop,DeviceType_mobile,Code Produit_C,Code Produit_H,Code Produit_R,Code Produit_S,Domaine Email Login_anonymous.com,Domaine Email Login_aol.com,Domaine Email Login_bellsouth.net,Domaine Email Login_cfl.rr.com,Domaine Email Login_comcast.net,Domaine Email Login_cox.net,Domaine Email Login_earthlink.net,Domaine Email Login_embarqmail.com,Domaine Email Login_gmail.com,Domaine Email Login_hotmail.com,Domaine Email Login_icloud.com,Domaine Email Login_juno.com,Domaine Email Login_live.com,Domaine Email Login_mac.com,Domaine Email Login_mail.com,Domaine Email Login_me.com,Domaine Email Login_msn.com,Domaine Email Login_outlook.com,Domaine Email Login_sbcglobal.net,Domaine Email Login_verizon.net,Domaine Email Login_windstream.net,Domaine Email Login_yahoo.com,Domaine Email Login_ymail.com,Domaine email livraison_anonymous.com,Domaine email livraison_aol.com,Domaine email livraison_att.net,Domaine email livraison_bellsouth.net,Domaine email livraison_cfl.rr.com,Domaine email livraison_comcast.net,Domaine email livraison_cox.net,Domaine email livraison_embarqmail.com,Domaine email livraison_gmail.com,Domaine email livraison_hotmail.com,Domaine email livraison_icloud.com,Domaine email livraison_live.com,Domaine email livraison_mac.com,Domaine email livraison_mail.com,Domaine email livraison_me.com,Domaine email livraison_msn.com,Domaine email livraison_outlook.com,Domaine email livraison_sbcglobal.net,Domaine email livraison_verizon.net,Domaine email livraison_windstream.net,Domaine email livraison_yahoo.com,Domaine email livraison_ymail.com,Unnamed: 0,Timestamp Transaction,Montant Euro,Carte 1,Adresse Hash 1,Adresse Hash 2,Distance Livraison,fraude
3045710,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4669497,0.28024262,1.1595457,-1.61874,-0.27877367,0.26875466,-1.0,1.0
3025049,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9833205,-0.4968844,-0.45080575,1.4022928,1.4154811,0.26875466,-0.3909045,0.0
3054479,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9652637,0.60844636,-0.048217915,-0.7052202,0.056248453,0.26875466,-1.0,0.0
3081468,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.03923751,1.3937056,0.35436994,-0.31540954,-0.23091337,0.26875466,-1.0,0.0
3073959,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1664383,1.1488558,1.1595457,1.0867602,0.056248453,0.26875466,-0.3238937,0.0
3045280,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024308551,0.27284563,-0.5313233,-1.5959615,0.20940143,0.26875466,-1.0,0.0
3066815,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5017672,0.95901567,-0.45080575,-0.6705572,0.41998675,0.26875466,-1.0,0.0
2999850,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1404879,-1.5733271,0.23244217,1.6322573,-1.0,-1.0,-1.0,1.0
3012378,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15625152,-1.0117867,-0.49106455,-0.6184636,1.4154811,0.26875466,-1.0,0.0
3040422,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4097097,0.10900647,-0.76420426,1.2489831,-1.0,-1.0,-0.059472695,1.0
